Date,Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet)
Jan-2001,9.34
Feb-2001,6.35
Mar-2001,5.24
Apr-2001,5.36
May-2001,4.8
Jun-2001,3.89
Jul-2001,3.45
Aug-2001,3.43
Sep-2001,2.62
Oct-2001,2.32
Nov-2001,3.1
Dec-2001,2.66
Jan-2002,2.85
Feb-2002,2.46
Mar-2002,2.82
Apr-2002,2.95
May-2002,3.62
Jun-2002,3.51
Jul-2002,3.5
Aug-2002,3.22
Sep-2002,3.52
Oct-2002,3.75
Nov-2002,4.09
Dec-2002,4.22
Jan-2003,4.95
Feb-2003,5.92
Mar-2003,8.29
Apr-2003,5.16
May-2003,5.38
Jun-2003,6.53
Jul-2003,5.39
Aug-2003,4.94
Sep-2003,4.87
Oct-2003,4.47
Nov-2003,4.44
Dec-2003,5.01
Jan-2004,5.8
Feb-2004,5.41
Mar-2004,5.1
Apr-2004,5.51
May-2004,6.03
Jun-2004,6.57
Jul-2004,6.11
Aug-2004,5.99
Sep-2004,5.17
Oct-2004,5.41
Nov-2004,7.11
Dec-2004,6.56
Jan-2005,5.88
Feb-2005,5.87
Mar-2005,6.21
Apr-2005,7.1
May-2005,6.65
Jun-2005,6.44
Jul-2005,7.08
Aug-2005,7.68
Sep-2005,10.08
Oct-2005,10.96
Nov-2005,10.79
Dec-2005,8.92
Jan-2006,8.94
Feb-2006,7.57
Mar-2006,6.82
Apr-2006,6.98
May-2006,6.94
Jun-2006,5.99
Jul-2006,5.92
Aug-2006,6.58
Sep-2006,6.34
Oct-2006,4.41
Nov-2006,6.95
Dec-2006,7.13
Jan-2007,6
Feb-2007,7.1
Mar-2007,7.14
Apr-2007,7.16
May-2007,7.53
Jun-2007,7.68
Jul-2007,6.91
Aug-2007,5.92
Sep-2007,5.45
Oct-2007,6.35
Nov-2007,7.02
Dec-2007,7.03
Jan-2008,7.02
Feb-2008,7.92
Mar-2008,8.9
Apr-2008,9.41
May-2008,11.09
Jun-2008,11.87
Jul-2008,12.93
Aug-2008,9.32
Sep-2008,8.12
Oct-2008,7.24
Nov-2008,5.88
Dec-2008,6.22
Jan-2009,5.47
Feb-2009,4.13
Mar-2009,3.77
Apr-2009,3.8
May-2009,3.46
Jun-2009,3.78
Jul-2009,4.09
Aug-2009,3.66
Sep-2009,2.97
Oct-2009,3.97
Nov-2009,4.45
Dec-2009,4.98
Jan-2010,6.14
Feb-2010,5.75
Mar-2010,4.96
Apr-2010,4.19
May-2010,4.4
Jun-2010,4.41
Jul-2010,4.97
Aug-2010,4.81
Sep-2010,3.91
Oct-2010,3.97
Nov-2010,3.52
Dec-2010,4.39
Jan-2011,4.35
Feb-2011,4.53
Mar-2011,4.01
Apr-2011,4.47
May-2011,4.5
Jun-2011,4.56
Jul-2011,4.39
Aug-2011,4.64
Sep-2011,4.17
Oct-2011,3.92
Nov-2011,3.63
Dec-2011,3.45
Jan-2012,3.31
Feb-2012,2.9
Mar-2012,2.55
Apr-2012,2.26
May-2012,2.22
Jun-2012,2.66
Jul-2012,3.01
Aug-2012,3.32
Sep-2012,2.92
Oct-2012,3.28
Nov-2012,3.65
Dec-2012,3.9
Jan-2013,3.58
Feb-2013,3.48
Mar-2013,3.65
Apr-2013,4.27
May-2013,4.48
Jun-2013,4.38
Jul-2013,3.91
Aug-2013,3.77
Sep-2013,3.8
Oct-2013,3.75
Nov-2013,3.83
Dec-2013,4.11
Jan-2014,4.63
Feb-2014,5.69
Mar-2014,5.05
Apr-2014,4.87
May-2014,5.03
Jun-2014,4.82
Jul-2014,4.9
Aug-2014,4.36
Sep-2014,4.35
Oct-2014,4.26
Nov-2014,3.98
Dec-2014,4.5
Jan-2015,3.38
Feb-2015,3.11
Mar-2015,3.01
Apr-2015,2.88
May-2015,2.82
Jun-2015,3.04
Jul-2015,3.08
Aug-2015,3.13
Sep-2015,2.95
Oct-2015,2.78
Nov-2015,2.29
Dec-2015,2.38
Jan-2016,2.45
Feb-2016,2.39
Mar-2016,1.88
Apr-2016,2.08
May-2016,2.14
Jun-2016,2.16
Jul-2016,2.98
Aug-2016,3.02
Sep-2016,3.15
Oct-2016,3.22
Nov-2016,2.93
Dec-2016,3.35
Jan-2017,3.84
Feb-2017,3.43
Mar-2017,2.81
Apr-2017,3.34
May-2017,3.37
Jun-2017,3.51
Jul-2017,3.4
Aug-2017,3.19
Sep-2017,3.21
Oct-2017,3.11
Nov-2017,2.98
Dec-2017,3.21
Jan-2018,3.35
Feb-2018,3.81
Mar-2018,2.89
Apr-2018,3.01
May-2018,3.13
Jun-2018,3.25
Jul-2018,3.22
Aug-2018,3.02
Sep-2018,3.21
Oct-2018,3.5
Nov-2018,3.87
Dec-2018,4.86
Jan-2019,3.9
Feb-2019,3.25
Mar-2019,3.03
Apr-2019,2.93
May-2019,2.83
Jun-2019,2.82
Jul-2019,2.59
Aug-2019,2.39
Sep-2019,2.53
Oct-2019,2.54
Nov-2019,2.76
