Date,Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
Jan-1989,5.11
Feb-1989,5.1
Mar-1989,5.21
Apr-1989,5.83
May-1989,6.53
Jun-1989,6.8
Jul-1989,6.97
Aug-1989,7.18
Sep-1989,6.73
Oct-1989,6.46
Nov-1989,5.65
Dec-1989,5.03
Jan-1990,4.95
Feb-1990,5.35
Mar-1990,5.61
Apr-1990,5.97
May-1990,6.47
Jun-1990,6.84
Jul-1990,7.11
Aug-1990,7.28
Sep-1990,7.19
Oct-1990,6.58
Nov-1990,5.89
Dec-1990,5.44
Jan-1991,5.19
Feb-1991,5.22
Mar-1991,5.45
Apr-1991,6.1
May-1991,6.77
Jun-1991,6.91
Jul-1991,7.08
Aug-1991,7.39
Sep-1991,7.22
Oct-1991,6.67
Nov-1991,5.43
Dec-1991,5.24
Jan-1992,4.97
Feb-1992,4.97
Mar-1992,5.52
Apr-1992,6.06
May-1992,6.92
Jun-1992,7.16
Jul-1992,7.42
Aug-1992,7.62
Sep-1992,7.48
Oct-1992,7.32
Nov-1992,6.02
Dec-1992,5.14
Jan-1993,5.24
Feb-1993,5.5
Mar-1993,5.3
Apr-1993,5.76
May-1993,6.73
Jun-1993,7.17
Jul-1993,7.51
Aug-1993,7.75
Sep-1993,8.02
Oct-1993,7.18
Nov-1993,5.68
Dec-1993,5.63
Jan-1994,5.21
Feb-1994,5.32
Mar-1994,5.66
Apr-1994,6.17
May-1994,7.01
Jun-1994,7.4
Jul-1994,7.83
Aug-1994,7.94
Sep-1994,7.62
Oct-1994,7.38
Nov-1994,6.07
Dec-1994,5.51
Jan-1995,5.23
Feb-1995,5.32
Mar-1995,5.65
Apr-1995,6.23
May-1995,6.78
Jun-1995,7.36
Jul-1995,7.52
Aug-1995,8.04
Sep-1995,7.71
Oct-1995,7.08
Nov-1995,5.77
Dec-1995,5.23
Jan-1996,4.92
Feb-1996,5.17
Mar-1996,5.44
Apr-1996,6.13
May-1996,6.98
Jun-1996,7.33
Jul-1996,8
Aug-1996,8.37
Sep-1996,7.86
Oct-1996,7.07
Nov-1996,5.34
Dec-1996,6.14
Jan-1997,6.26
Feb-1997,5.96
Mar-1997,5.48
Apr-1997,5.58
May-1997,6.33
Jun-1997,7.72
Jul-1997,8.26
Aug-1997,8.78
Sep-1997,8.55
Oct-1997,8
Nov-1997,6.4
Dec-1997,5.59
Jan-1998,5.3
Feb-1998,6.43
Mar-1998,5.02
Apr-1998,6.15
May-1998,7.15
Jun-1998,7.76
Jul-1998,8.66
Aug-1998,8.77
Sep-1998,8.59
Oct-1998,7.98
Nov-1998,6.43
Dec-1998,5.4
Jan-1999,4.95
Feb-1999,5.26
Mar-1999,5.24
Apr-1999,6.07
May-1999,7.02
Jun-1999,7.99
Jul-1999,7.48
Aug-1999,9.23
Sep-1999,9.07
Oct-1999,8.46
Nov-1999,7.3
Dec-1999,5.6
Jan-2000,5.26
Feb-2000,5.54
Mar-2000,6.18
Apr-2000,7.02
May-2000,7.4
Jun-2000,10.76
Jul-2000,10.52
Aug-2000,11.31
Sep-2000,11.41
Oct-2000,10.7
Nov-2000,8.57
Dec-2000,8.05
Jan-2001,10.89
Feb-2001,8.84
Mar-2001,8.59
Apr-2001,9.26
May-2001,10.45
Jun-2001,11.86
Jul-2001,10.54
Aug-2001,6.73
Sep-2001,9.9
Oct-2001,7.7
Nov-2001,7.63
Dec-2001,5.53
Jan-2002,6.69
Feb-2002,6.18
Mar-2002,6.01
Apr-2002,7.14
May-2002,10.47
Jun-2002,10.7
Jul-2002,10.74
Aug-2002,10.81
Sep-2002,10.69
Oct-2002,8.77
Nov-2002,7.29
Dec-2002,7.01
