Date,Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet)
Jan-1989,3.26
Feb-1989,3.41
Mar-1989,3.37
Apr-1989,3.07
May-1989,3.22
Jun-1989,3.19
Jul-1989,3.35
Aug-1989,3.43
Sep-1989,3.17
Oct-1989,2.96
Nov-1989,3.58
Dec-1989,3.49
Jan-1990,3.33
Feb-1990,3.26
Mar-1990,3.12
Apr-1990,3.01
May-1990,2.93
Jun-1990,2.85
Jul-1990,2.87
Aug-1990,3.14
Sep-1990,2.88
Oct-1990,2.72
Nov-1990,3.29
Dec-1990,3.5
Jan-1991,3.4
Feb-1991,3.16
Mar-1991,2.68
Apr-1991,2.62
May-1991,2.46
Jun-1991,2.53
Jul-1991,2.48
Aug-1991,2.47
Sep-1991,2.6
Oct-1991,2.91
Nov-1991,3
Dec-1991,3.1
Jan-1992,2.98
Feb-1992,2.78
Mar-1992,2.77
Apr-1992,2.83
May-1992,2.85
Jun-1992,2.78
Jul-1992,2.71
Aug-1992,2.94
Sep-1992,3.01
Oct-1992,3.61
Nov-1992,3.47
Dec-1992,3.47
Jan-1993,3.44
Feb-1993,3.21
Mar-1993,3.18
Apr-1993,3.11
May-1993,3.38
Jun-1993,3.18
Jul-1993,3.08
Aug-1993,3.19
Sep-1993,3.43
Oct-1993,3.24
Nov-1993,3.48
Dec-1993,3.58
Jan-1994,3.21
Feb-1994,3.26
Mar-1994,3.27
Apr-1994,2.98
May-1994,2.84
Jun-1994,2.59
Jul-1994,2.66
Aug-1994,2.66
Sep-1994,2.72
Oct-1994,2.73
Nov-1994,3.04
Dec-1994,3.2
Jan-1995,3.02
Feb-1995,3.05
Mar-1995,3.15
Apr-1995,3.19
May-1995,2.72
Jun-1995,2.81
Jul-1995,2.63
Aug-1995,2.62
Sep-1995,2.74
Oct-1995,2.75
Nov-1995,2.97
Dec-1995,3.06
Jan-1996,3.2
Feb-1996,3.13
Mar-1996,3.05
Apr-1996,3.13
May-1996,2.81
Jun-1996,2.91
Jul-1996,3.04
Aug-1996,2.97
Sep-1996,2.87
Oct-1996,2.73
Nov-1996,3.49
Dec-1996,4.21
Jan-1997,4.7
Feb-1997,4.16
Mar-1997,3.01
Apr-1997,2.38
May-1997,2.5
Jun-1997,3.01
Jul-1997,3.23
Aug-1997,3.11
Sep-1997,3.21
Oct-1997,3.57
Nov-1997,3.86
Dec-1997,3.97
Jan-1998,3.03
Feb-1998,2.61
Mar-1998,2.65
Apr-1998,2.68
May-1998,2.65
Jun-1998,2.36
Jul-1998,2.62
Aug-1998,2.35
Sep-1998,2.09
Oct-1998,2.37
Nov-1998,2.59
Dec-1998,2.85
Jan-1999,2.83
Feb-1999,2.61
